dia_compra;mes_compra;a�o;dia_semana;nro_ticket;filial_id;suma_total;cantidad_productos;nota;el_tiempo_de_la_atencion_fue_agil_y_rapido;atencion_amable;el_local_se_encontraba__limpio_y_ordenado;pto_contacto;nivel_2;dia_respuesta;genero;rango_edad;region;segmento_actividad;medio_de_pago;vend_id;Random
02-09-2020;9;2020;Miercoles;ab1d3006;126;54136;5;7;10;10;10;Local 126;Locales;03-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;5582;41814
20-09-2020;9;2020;Domingo;ab1d3007;768;17772;2;0;0;3;10;Local 768;Locales;21-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Credito;9208;42035
03-09-2020;9;2020;jueves;ab1d3008;255;21884;6;10;10;10;10;Local 255;Locales;04-09-2020;Masculino;De 60 años y más;VIII Biobío;Activo;Debito;1586;42118
12-09-2020;9;2020;Sabado;ab1d3009;280;28199;1;10;10;10;10;Local 280;Locales;13-09-2020;Femenino;De 46 a 60 años;IX La Araucanía;Activo;Debito;6761;42140
12-09-2020;9;2020;Sabado;ab1d3010;40;841;1;10;10;9;10;Local 40;Locales;13-09-2020;Femenino;De 46 a 60 años;V Valparaíso;Activo;Debito;5627;42140
27-09-2020;9;2020;Domingo;ab1d3011;128;30609;11;10;10;10;10;Local 128;Locales;29-09-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Debito;16543;42224
28-09-2020;9;2020;Lunes;ab1d3012;479;59279;1;0;0;0;0;ret_Local ;Retiro en Tienda;04-10-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Credito;8890;42255
15-09-2020;9;2020;Martes;ab1d3013;484;30123;2;10;10;10;10;Local 484;Locales;16-09-2020;Femenino;De 26 a 35 años;VIII Biobío;Semi Activo;Debito;12979;42263
01-09-2020;9;2020;Martes;ab1d3014;107;18339;2;9;7;;5;ret_Local;Retiro en Tienda;04-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Semi Activo;Debito;19291;42401
10-09-2020;9;2020;jueves;ab1d3015;176;5378;4;10;10;10;7;Local 176;Locales;11-09-2020;Femenino;De 18 a 25 años;Región Metropolitana;Activo;Debito;20014;42499
05-09-2020;9;2020;Sabado;ab1d3016;608;28387;2;10;10;10;10;Local 608;Locales;11-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;8122;42537
02-09-2020;9;2020;Miercoles;ab1d3017;449;20099;1;10;10;;10;ret_Local;Retiro en Tienda;03-09-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Debito;10712;42587
30-09-2020;9;2020;Miercoles;ab1d3018;463;14513;1;10;7;10;5;Local 463;Locales;01-10-2020;Femenino;De 60 años y más;V Valparaíso;Semi Activo;Debito;19435;42647
24-09-2020;9;2020;jueves;ab1d3019;241;51697;3;10;10;10;10;Local 241;Locales;30-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Activo;Excedente;355;42834
